faculty_id,slot_id,available,preference_score
F001,MON_0900,True,3
F001,MON_1000,True,3
F001,MON_1100,True,3
F001,MON_1200,True,3
F001,MON_1400,True,5
F001,MON_1500,True,5
F001,MON_1600,False,0
F001,TUE_0900,False,0
F001,TUE_1000,True,3
F001,TUE_1100,True,3
F001,TUE_1200,True,3
F001,TUE_1400,True,5
F001,TUE_1500,True,5
F001,TUE_1600,True,5
F001,WED_0900,True,3
F001,WED_1000,True,3
F001,WED_1100,True,3
F001,WED_1200,True,3
F001,WED_1400,True,5
F001,WED_1500,True,5
F001,WED_1600,True,5
F001,THU_0900,True,3
F001,THU_1000,True,3
F001,THU_1100,True,3
F001,THU_1200,True,3
F001,THU_1400,True,5
F001,THU_1500,True,5
F001,THU_1600,True,5
F001,FRI_0900,True,3
F001,FRI_1000,True,3
F001,FRI_1100,True,3
F001,FRI_1200,True,3
F001,FRI_1400,True,5
F001,FRI_1500,True,5
F001,FRI_1600,False,0
F002,MON_0900,True,3
F002,MON_1000,True,4
F002,MON_1100,False,0
F002,MON_1200,True,5
F002,MON_1400,True,3
F002,MON_1500,False,0
F002,MON_1600,True,3
F002,TUE_0900,True,3
F002,TUE_1000,False,0
F002,TUE_1100,True,3
F002,TUE_1200,True,3
F002,TUE_1400,True,3
F002,TUE_1500,True,5
F002,TUE_1600,False,0
F002,WED_0900,True,3
F002,WED_1000,True,5
F002,WED_1100,True,3
F002,WED_1200,True,3
F002,WED_1400,True,4
F002,WED_1500,True,3
F002,WED_1600,True,3
F002,THU_0900,True,3
F002,THU_1000,True,4
F002,THU_1100,True,5
F002,THU_1200,False,0
F002,THU_1400,True,4
F002,THU_1500,True,3
F002,THU_1600,True,3
F002,FRI_0900,True,3
F002,FRI_1000,True,5
F002,FRI_1100,True,4
F002,FRI_1200,True,3
F002,FRI_1400,False,0
F002,FRI_1500,True,4
F002,FRI_1600,True,3
F003,MON_0900,True,5
F003,MON_1000,True,5
F003,MON_1100,False,0
F003,MON_1200,False,0
F003,MON_1400,True,3
F003,MON_1500,False,0
F003,MON_1600,True,3
F003,TUE_0900,True,5
F003,TUE_1000,True,5
F003,TUE_1100,True,5
F003,TUE_1200,True,3
F003,TUE_1400,True,3
F003,TUE_1500,True,3
F003,TUE_1600,True,3
F003,WED_0900,False,0
F003,WED_1000,True,5
F003,WED_1100,True,5
F003,WED_1200,True,3
F003,WED_1400,True,3
F003,WED_1500,True,3
F003,WED_1600,True,3
F003,THU_0900,True,5
F003,THU_1000,True,5
F003,THU_1100,True,5
F003,THU_1200,True,3
F003,THU_1400,True,3
F003,THU_1500,False,0
F003,THU_1600,True,3
F003,FRI_0900,True,5
F003,FRI_1000,True,5
F003,FRI_1100,True,5
F003,FRI_1200,True,3
F003,FRI_1400,False,0
F003,FRI_1500,True,3
F003,FRI_1600,False,0
F004,MON_0900,False,0
F004,MON_1000,False,0
F004,MON_1100,False,0
F004,MON_1200,False,0
F004,MON_1400,False,0
F004,MON_1500,False,0
F004,MON_1600,False,0
F004,TUE_0900,False,0
F004,TUE_1000,False,0
F004,TUE_1100,False,0
F004,TUE_1200,False,0
F004,TUE_1400,True,5
F004,TUE_1500,True,5
F004,TUE_1600,True,5
F004,WED_0900,False,0
F004,WED_1000,False,0
F004,WED_1100,False,0
F004,WED_1200,False,0
F004,WED_1400,False,0
F004,WED_1500,False,0
F004,WED_1600,False,0
F004,THU_0900,False,0
F004,THU_1000,False,0
F004,THU_1100,False,0
F004,THU_1200,False,0
F004,THU_1400,True,5
F004,THU_1500,True,5
F004,THU_1600,True,5
F004,FRI_0900,False,0
F004,FRI_1000,False,0
F004,FRI_1100,False,0
F004,FRI_1200,False,0
F004,FRI_1400,False,0
F004,FRI_1500,False,0
F004,FRI_1600,False,0
F005,MON_0900,False,0
F005,MON_1000,True,3
F005,MON_1100,True,5
F005,MON_1200,True,5
F005,MON_1400,True,3
F005,MON_1500,True,5
F005,MON_1600,True,4
F005,TUE_0900,True,5
F005,TUE_1000,False,0
F005,TUE_1100,True,4
F005,TUE_1200,True,5
F005,TUE_1400,True,3
F005,TUE_1500,True,3
F005,TUE_1600,True,4
F005,WED_0900,True,4
F005,WED_1000,True,4
F005,WED_1100,True,4
F005,WED_1200,True,5
F005,WED_1400,True,5
F005,WED_1500,True,5
F005,WED_1600,True,5
F005,THU_0900,True,3
F005,THU_1000,True,4
F005,THU_1100,True,4
F005,THU_1200,False,0
F005,THU_1400,True,5
F005,THU_1500,True,3
F005,THU_1600,True,5
F005,FRI_0900,True,3
F005,FRI_1000,True,3
F005,FRI_1100,True,4
F005,FRI_1200,True,4
F005,FRI_1400,True,4
F005,FRI_1500,True,5
F005,FRI_1600,True,3
F006,MON_0900,True,5
F006,MON_1000,True,5
F006,MON_1100,False,0
F006,MON_1200,False,0
F006,MON_1400,True,3
F006,MON_1500,True,3
F006,MON_1600,True,3
F006,TUE_0900,True,5
F006,TUE_1000,True,5
F006,TUE_1100,True,5
F006,TUE_1200,True,3
F006,TUE_1400,True,3
F006,TUE_1500,True,3
F006,TUE_1600,True,3
F006,WED_0900,True,5
F006,WED_1000,True,5
F006,WED_1100,True,5
F006,WED_1200,True,3
F006,WED_1400,False,0
F006,WED_1500,True,3
F006,WED_1600,True,3
F006,THU_0900,True,5
F006,THU_1000,True,5
F006,THU_1100,True,5
F006,THU_1200,True,3
F006,THU_1400,True,3
F006,THU_1500,True,3
F006,THU_1600,True,3
F006,FRI_0900,True,5
F006,FRI_1000,True,5
F006,FRI_1100,True,5
F006,FRI_1200,True,3
F006,FRI_1400,True,3
F006,FRI_1500,True,3
F006,FRI_1600,True,3
F007,MON_0900,True,3
F007,MON_1000,True,3
F007,MON_1100,False,0
F007,MON_1200,True,3
F007,MON_1400,True,5
F007,MON_1500,True,5
F007,MON_1600,True,5
F007,TUE_0900,True,3
F007,TUE_1000,True,3
F007,TUE_1100,True,3
F007,TUE_1200,True,3
F007,TUE_1400,True,5
F007,TUE_1500,True,5
F007,TUE_1600,True,5
F007,WED_0900,True,3
F007,WED_1000,True,3
F007,WED_1100,True,3
F007,WED_1200,True,3
F007,WED_1400,True,5
F007,WED_1500,False,0
F007,WED_1600,True,5
F007,THU_0900,True,3
F007,THU_1000,True,3
F007,THU_1100,True,3
F007,THU_1200,False,0
F007,THU_1400,True,5
F007,THU_1500,True,5
F007,THU_1600,True,5
F007,FRI_0900,True,3
F007,FRI_1000,True,3
F007,FRI_1100,True,3
F007,FRI_1200,True,3
F007,FRI_1400,True,5
F007,FRI_1500,True,5
F007,FRI_1600,True,5
F008,MON_0900,True,3
F008,MON_1000,True,5
F008,MON_1100,False,0
F008,MON_1200,True,5
F008,MON_1400,True,5
F008,MON_1500,True,4
F008,MON_1600,True,5
F008,TUE_0900,True,5
F008,TUE_1000,True,5
F008,TUE_1100,True,4
F008,TUE_1200,False,0
F008,TUE_1400,True,4
F008,TUE_1500,True,5
F008,TUE_1600,False,0
F008,WED_0900,True,4
F008,WED_1000,True,3
F008,WED_1100,False,0
F008,WED_1200,True,3
F008,WED_1400,True,3
F008,WED_1500,True,5
F008,WED_1600,True,5
F008,THU_0900,True,5
F008,THU_1000,True,4
F008,THU_1100,True,5
F008,THU_1200,True,4
F008,THU_1400,True,5
F008,THU_1500,True,3
F008,THU_1600,True,4
F008,FRI_0900,True,3
F008,FRI_1000,True,3
F008,FRI_1100,False,0
F008,FRI_1200,True,4
F008,FRI_1400,True,5
F008,FRI_1500,True,4
F008,FRI_1600,True,4
F009,MON_0900,True,5
F009,MON_1000,True,5
F009,MON_1100,True,5
F009,MON_1200,True,3
F009,MON_1400,True,3
F009,MON_1500,False,0
F009,MON_1600,False,0
F009,TUE_0900,True,5
F009,TUE_1000,True,5
F009,TUE_1100,True,5
F009,TUE_1200,True,3
F009,TUE_1400,True,3
F009,TUE_1500,True,3
F009,TUE_1600,True,3
F009,WED_0900,True,5
F009,WED_1000,True,5
F009,WED_1100,True,5
F009,WED_1200,True,3
F009,WED_1400,True,3
F009,WED_1500,True,3
F009,WED_1600,True,3
F009,THU_0900,True,5
F009,THU_1000,True,5
F009,THU_1100,True,5
F009,THU_1200,True,3
F009,THU_1400,True,3
F009,THU_1500,True,3
F009,THU_1600,True,3
F009,FRI_0900,True,5
F009,FRI_1000,True,5
F009,FRI_1100,True,5
F009,FRI_1200,True,3
F009,FRI_1400,True,3
F009,FRI_1500,True,3
F009,FRI_1600,True,3
F010,MON_0900,True,3
F010,MON_1000,True,3
F010,MON_1100,True,3
F010,MON_1200,True,3
F010,MON_1400,True,5
F010,MON_1500,True,5
F010,MON_1600,False,0
