room_id,slot_id,available
SR001,MON_0900,True
SR001,MON_1000,True
SR001,MON_1100,True
SR001,MON_1200,True
SR001,MON_1400,True
SR001,MON_1500,True
SR001,MON_1600,True
SR001,TUE_0900,True
SR001,TUE_1000,True
SR001,TUE_1100,True
SR001,TUE_1200,True
SR001,TUE_1400,True
SR001,TUE_1500,True
SR001,TUE_1600,True
SR001,WED_0900,False
SR001,WED_1000,False
SR001,WED_1100,True
SR001,WED_1200,True
SR001,WED_1400,True
SR001,WED_1500,True
SR001,WED_1600,True
SR001,THU_0900,True
SR001,THU_1000,True
SR001,THU_1100,True
SR001,THU_1200,True
SR001,THU_1400,True
SR001,THU_1500,True
SR001,THU_1600,True
SR001,FRI_0900,True
SR001,FRI_1000,True
SR001,FRI_1100,True
SR001,FRI_1200,True
SR001,FRI_1400,True
SR001,FRI_1500,True
SR001,FRI_1600,True
SR002,MON_0900,True
SR002,MON_1000,True
SR002,MON_1100,True
SR002,MON_1200,True
SR002,MON_1400,True
SR002,MON_1500,True
SR002,MON_1600,True
SR002,TUE_0900,True
SR002,TUE_1000,True
SR002,TUE_1100,True
SR002,TUE_1200,True
SR002,TUE_1400,True
SR002,TUE_1500,True
SR002,TUE_1600,True
SR002,WED_0900,True
SR002,WED_1000,True
SR002,WED_1100,True
SR002,WED_1200,True
SR002,WED_1400,True
SR002,WED_1500,True
SR002,WED_1600,True
SR002,THU_0900,True
SR002,THU_1000,True
SR002,THU_1100,True
SR002,THU_1200,True
SR002,THU_1400,True
SR002,THU_1500,True
SR002,THU_1600,True
SR002,FRI_0900,True
SR002,FRI_1000,True
SR002,FRI_1100,True
SR002,FRI_1200,True
SR002,FRI_1400,True
SR002,FRI_1500,True
SR002,FRI_1600,True
SR003,MON_0900,True
SR003,MON_1000,True
SR003,MON_1100,True
SR003,MON_1200,True
SR003,MON_1400,True
SR003,MON_1500,True
SR003,MON_1600,True
SR003,TUE_0900,True
SR003,TUE_1000,True
SR003,TUE_1100,True
SR003,TUE_1200,True
SR003,TUE_1400,True
SR003,TUE_1500,True
SR003,TUE_1600,True
SR003,WED_0900,True
SR003,WED_1000,True
SR003,WED_1100,True
SR003,WED_1200,True
SR003,WED_1400,True
SR003,WED_1500,True
SR003,WED_1600,True
SR003,THU_0900,True
SR003,THU_1000,True
SR003,THU_1100,True
SR003,THU_1200,True
SR003,THU_1400,True
SR003,THU_1500,True
SR003,THU_1600,True
